,BandStart_Latitude,BandStart_Longitude,BandMidpoint_Latitude,BandMidpoint_Longitude,BandEnd_Latitude,BandEnd_Longitude,BandIntensity [dBZ],BandAz_LO1 [deg],BandRng_LO1 [km],WaterTemp_Ontario,IceCover_Ontario,IceCover_Huron,IceCover_Erie,z_925mb [m]_x,T_925mb [degC]_x,RH_925mb [%]_x,u_925mb [kt]_x,v_925mb [kt]_x,z_850mb [m]_x,T_850mb [degC]_x,RH_850mb [%]_x,u_850mb [kt]_x,v_850mb [kt]_x,z_700mb [m]_x,T_700mb [degC]_x,RH_700mb [%]_x,u_700mb [kt]_x,v_700mb [kt]_x,z_500mb [m]_x,T_500mb [degC]_x,RH_500mb [%]_x,u_500mb [kt]_x,v_500mb [kt]_x,z_925mb [m]_y,T_925mb [degC]_y,RH_925mb [%]_y,u_925mb [kt]_y,v_925mb [kt]_y,z_850mb [m]_y,T_850mb [degC]_y,RH_850mb [%]_y,u_850mb [kt]_y,v_850mb [kt]_y,z_700mb [m]_y,T_700mb [degC]_y,RH_700mb [%]_y,u_700mb [kt]_y,v_700mb [kt]_y,z_500mb [m]_y,T_500mb [degC]_y,RH_500mb [%]_y,u_500mb [kt]_y,v_500mb [kt]_y,z_925mb [m]_x,T_925mb [degC]_x,RH_925mb [%]_x,u_925mb [kt]_x,v_925mb [kt]_x,z_850mb [m]_x,T_850mb [degC]_x,RH_850mb [%]_x,u_850mb [kt]_x,v_850mb [kt]_x,z_700mb [m]_x,T_700mb [degC]_x,RH_700mb [%]_x,u_700mb [kt]_x,v_700mb [kt]_x,z_500mb [m]_x,T_500mb [degC]_x,RH_500mb [%]_x,u_500mb [kt]_x,v_500mb [kt]_x,z_925mb [m]_y,T_925mb [degC]_y,RH_925mb [%]_y,u_925mb [kt]_y,v_925mb [kt]_y,z_850mb [m]_y,T_850mb [degC]_y,RH_850mb [%]_y,u_850mb [kt]_y,v_850mb [kt]_y,z_700mb [m]_y,T_700mb [degC]_y,RH_700mb [%]_y,u_700mb [kt]_y,v_700mb [kt]_y,z_500mb [m]_y,T_500mb [degC]_y,RH_500mb [%]_y,u_500mb [kt]_y,v_500mb [kt]_y,z_925mb [m]_x,T_925mb [degC]_x,RH_925mb [%]_x,u_925mb [kt]_x,v_925mb [kt]_x,z_850mb [m]_x,T_850mb [degC]_x,RH_850mb [%]_x,u_850mb [kt]_x,v_850mb [kt]_x,z_700mb [m]_x,T_700mb [degC]_x,RH_700mb [%]_x,u_700mb [kt]_x,v_700mb [kt]_x,z_500mb [m]_x,T_500mb [degC]_x,RH_500mb [%]_x,u_500mb [kt]_x,v_500mb [kt]_x,z_925mb [m]_y,T_925mb [degC]_y,RH_925mb [%]_y,u_925mb [kt]_y,v_925mb [kt]_y,z_850mb [m]_y,T_850mb [degC]_y,RH_850mb [%]_y,u_850mb [kt]_y,v_850mb [kt]_y,z_700mb [m]_y,T_700mb [degC]_y,RH_700mb [%]_y,u_700mb [kt]_y,v_700mb [kt]_y,z_500mb [m]_y,T_500mb [degC]_y,RH_500mb [%]_y,u_500mb [kt]_y,v_500mb [kt]_y,z_925mb [m]_x,T_925mb [degC]_x,RH_925mb [%]_x,u_925mb [kt]_x,v_925mb [kt]_x,z_850mb [m]_x,T_850mb [degC]_x,RH_850mb [%]_x,u_850mb [kt]_x,v_850mb [kt]_x,z_700mb [m]_x,T_700mb [degC]_x,RH_700mb [%]_x,u_700mb [kt]_x,v_700mb [kt]_x,z_500mb [m]_x,T_500mb [degC]_x,RH_500mb [%]_x,u_500mb [kt]_x,v_500mb [kt]_x,z_925mb [m]_y,T_925mb [degC]_y,RH_925mb [%]_y,u_925mb [kt]_y,v_925mb [kt]_y,z_850mb [m]_y,T_850mb [degC]_y,RH_850mb [%]_y,u_850mb [kt]_y,v_850mb [kt]_y,z_700mb [m]_y,T_700mb [degC]_y,RH_700mb [%]_y,u_700mb [kt]_y,v_700mb [kt]_y,z_500mb [m]_y,T_500mb [degC]_y,RH_500mb [%]_y,u_500mb [kt]_y,v_500mb [kt]_y,z_925mb [m]_x,T_925mb [degC]_x,RH_925mb [%]_x,u_925mb [kt]_x,v_925mb [kt]_x,z_850mb [m]_x,T_850mb [degC]_x,RH_850mb [%]_x,u_850mb [kt]_x,v_850mb [kt]_x,z_700mb [m]_x,T_700mb [degC]_x,RH_700mb [%]_x,u_700mb [kt]_x,v_700mb [kt]_x,z_500mb [m]_x,T_500mb [degC]_x,RH_500mb [%]_x,u_500mb [kt]_x,v_500mb [kt]_x,z_925mb [m]_y,T_925mb [degC]_y,RH_925mb [%]_y,u_925mb [kt]_y,v_925mb [kt]_y,z_850mb [m]_y,T_850mb [degC]_y,RH_850mb [%]_y,u_850mb [kt]_y,v_850mb [kt]_y,z_700mb [m]_y,T_700mb [degC]_y,RH_700mb [%]_y,u_700mb [kt]_y,v_700mb [kt]_y,z_500mb [m]_y,T_500mb [degC]_y,RH_500mb [%]_y,u_500mb [kt]_y,v_500mb [kt]_y,z_925mb [m]_x,T_925mb [degC]_x,RH_925mb [%]_x,u_925mb [kt]_x,v_925mb [kt]_x,z_850mb [m]_x,T_850mb [degC]_x,RH_850mb [%]_x,u_850mb [kt]_x,v_850mb [kt]_x,z_700mb [m]_x,T_700mb [degC]_x,RH_700mb [%]_x,u_700mb [kt]_x,v_700mb [kt]_x,z_500mb [m]_x,T_500mb [degC]_x,RH_500mb [%]_x,u_500mb [kt]_x,v_500mb [kt]_x,z_925mb [m]_y,T_925mb [degC]_y,RH_925mb [%]_y,u_925mb [kt]_y,v_925mb [kt]_y,z_850mb [m]_y,T_850mb [degC]_y,RH_850mb [%]_y,u_850mb [kt]_y,v_850mb [kt]_y,z_700mb [m]_y,T_700mb [degC]_y,RH_700mb [%]_y,u_700mb [kt]_y,v_700mb [kt]_y,z_500mb [m]_y,T_500mb [degC]_y,RH_500mb [%]_y,u_500mb [kt]_y,v_500mb [kt]_y,z_925mb [m]_x,T_925mb [degC]_x,RH_925mb [%]_x,u_925mb [kt]_x,v_925mb [kt]_x,z_850mb [m]_x,T_850mb [degC]_x,RH_850mb [%]_x,u_850mb [kt]_x,v_850mb [kt]_x,z_700mb [m]_x,T_700mb [degC]_x,RH_700mb [%]_x,u_700mb [kt]_x,v_700mb [kt]_x,z_500mb [m]_x,T_500mb [degC]_x,RH_500mb [%]_x,u_500mb [kt]_x,v_500mb [kt]_x,z_925mb [m]_y,T_925mb [degC]_y,RH_925mb [%]_y,u_925mb [kt]_y,v_925mb [kt]_y,z_850mb [m]_y,T_850mb [degC]_y,RH_850mb [%]_y,u_850mb [kt]_y,v_850mb [kt]_y,z_700mb [m]_y,T_700mb [degC]_y,RH_700mb [%]_y,u_700mb [kt]_y,v_700mb [kt]_y,z_500mb [m]_y,T_500mb [degC]_y,RH_500mb [%]_y,u_500mb [kt]_y,v_500mb [kt]_y,z_925mb [m]_x,T_925mb [degC]_x,RH_925mb [%]_x,u_925mb [kt]_x,v_925mb [kt]_x,z_850mb [m]_x,T_850mb [degC]_x,RH_850mb [%]_x,u_850mb [kt]_x,v_850mb [kt]_x,z_700mb [m]_x,T_700mb [degC]_x,RH_700mb [%]_x,u_700mb [kt]_x,v_700mb [kt]_x,z_500mb [m]_x,T_500mb [degC]_x,RH_500mb [%]_x,u_500mb [kt]_x,v_500mb [kt]_x,z_925mb [m]_y,T_925mb [degC]_y,RH_925mb [%]_y,u_925mb [kt]_y,v_925mb [kt]_y,z_850mb [m]_y,T_850mb [degC]_y,RH_850mb [%]_y,u_850mb [kt]_y,v_850mb [kt]_y,z_700mb [m]_y,T_700mb [degC]_y,RH_700mb [%]_y,u_700mb [kt]_y,v_700mb [kt]_y,z_500mb [m]_y,T_500mb [degC]_y,RH_500mb [%]_y,u_500mb [kt]_y,v_500mb [kt]_y
count,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0
mean,43.6306529659389,-76.38177627510915,43.63375770469906,-75.78717765881535,43.63970525938867,-75.14273890131,-463.37860262008735,93.64175552606328,87.64016395026815,4.608820960698673,4.733283842794756,19.42294323144106,23.08272489082971,732.8736244541491,-9.868768558951956,77.50649781659382,20.24557205240177,5.92625327510918,1379.3850917030572,-14.551048034934492,79.28847161572052,25.173711790392996,4.920611353711791,2830.415056768558,-21.122585152838425,56.31779912663742,32.2237205240175,6.6454847161572,5260.147886462881,-33.079851528384275,34.751860262008705,46.91137991266377,13.336288209606973,734.0899213973803,-10.0178864628821,77.15125764192148,20.96466375545856,4.611423580786032,1380.2571965065492,-14.702934497816617,78.09035807860273,25.075275109170324,4.4253100436681265,2830.2101572052397,-21.271624454148455,55.426489082969425,32.103065502183426,6.951056768558961,5259.521432314411,-33.001353711790415,33.3376593886463,48.25934497816596,14.911668122270736,728.5944454148465,-9.781633187772929,80.4747947598254,20.727956331877742,5.17713537117904,1375.1707248908308,-14.598637554585164,81.35435807860269,25.41522270742358,3.4516419213973792,2825.819973799125,-21.112131004366795,59.24292576419214,32.53827947598251,4.77845414847162,5255.5447510917065,-33.13519650655023,36.57305676855892,45.55740611353718,11.658847161572067,732.7671091703066,-10.005528384279483,78.02100436681224,19.584034934497847,6.132104803493445,1379.2318951965062,-14.465222707423571,78.72248908296952,24.276314410480325,4.065248908296939,2830.2843668122264,-21.106969432314436,57.30839301310043,31.98475109170304,5.6895807860262035,5260.4343930131,-32.98937117903927,34.73103930131007,45.16998253275108,12.73157205240174,733.3837991266375,-10.220104803493449,78.44434061135368,21.5813100436681,5.5178689956331795,1379.6350480349347,-14.580864628820963,78.35129257641914,25.641615720524026,4.852349344978165,2829.106200873361,-21.266462882096043,56.754855895196464,32.425179039301334,5.334113537117905,5257.032375545858,-33.35032314410478,35.03366812227073,46.61117030567688,12.03544104803492,731.6814235807842,-9.894410480349338,77.63335371179038,20.714541484716122,4.55434061135371,1378.1294410480339,-14.602480349344985,78.17186026200879,24.426637554585113,4.028393013100436,2828.028978165943,-21.351886462882092,58.476672489083,31.225475982532775,5.953947598253265,5255.447886462887,-33.35625327510919,35.30444541484713,45.93260262008737,12.530890829694313,730.240637554585,-9.931467248908286,79.22945851528388,20.521580786026203,5.081030567685593,1376.9766375545864,-14.339441048034919,80.32019213973791,25.26705676855897,3.8198078602620114,2829.8619301310027,-20.758043668122276,57.734759825327515,32.321310043668156,7.025004366812224,5262.952786026206,-32.6043930131004,35.68560698689959,46.18875109170297,15.07835807860263,733.633650655021,-9.556349344978162,78.18879475982527,21.799729257641946,6.541397379912663,1380.7541135371187,-14.42357205240175,81.05620960698687,25.603956331877736,5.47353711790393,2831.898620087342,-20.958681222707437,56.236611353711744,32.299965065502164,6.86344104803494,5264.277379912666,-32.63688209606983,34.28670742358081,48.133187772925716,14.207729257641923,728.1953100436672,-10.165965065502183,77.93949344978179,20.386689956331896,5.940532751091703,1374.0937641921398,-14.753589519650665,77.75941484716142,24.639764192139744,5.3816331877729295,2824.1775371179037,-21.352340611353707,58.15185152838433,31.74073362445418,7.089222707423586,5250.823213973797,-33.39140611353709,36.90003493449784,45.67128384279472,11.854986899563308,729.9304541484715,-10.255170305676849,77.77368558951967,20.649397379912664,4.78834061135371,1375.6641048034935,-14.828620087336247,79.35249781659395,25.30154585152839,4.440908296943236,2825.4524192139706,-21.127641921397398,55.923100436681175,31.900899563318777,5.906532751091708,5255.237938864633,-33.07308296943229,36.679510917030534,46.046296943231475,13.047048034934496,731.835292576419,-10.016550218340605,79.74207860262031,19.858200873362463,5.474847161572054,1378.2934323144082,-14.538943231441067,80.85356331877736,25.341519650655034,5.038340611353707,2828.904314410478,-21.121877729257626,56.9038340611354,32.59706550218344,6.251772925764192,5258.507484716154,-32.95131877729252,34.487956331877726,47.22738864628823,14.031205240174673,732.0699825327509,-10.064410480349363,78.91782532751094,19.975903930130993,6.103467248908294,1378.165441048036,-14.639266375545873,79.5804628820961,24.752890829694316,4.368567685589517,2829.5804716157186,-20.89091703056768,57.22175545851524,32.15625327510918,6.190358078602616,5261.62145851528,-32.82755458515289,36.59669868995634,45.688375545851585,13.21942358078602,727.8094235807864,-10.269938864628823,78.56557205240158,20.106672489083007,3.9099650655021763,1373.9167161572063,-14.61492576419212,78.60517030567688,24.423231441048056,3.982829694323144,2823.9261834061153,-21.252305676855904,57.73730131004366,31.75323144104797,6.0950829694323145,5251.994960698695,-33.27197379912663,36.84603493449782,44.60972052401746,13.162794759825315,734.5337467248902,-10.092331877729238,80.38459388646287,20.995458515283875,4.664419213973799,1380.716122270742,-14.530681222707459,80.22509170305673,25.77889082969434,4.6153275109170355,2832.474384279481,-20.941458515283855,57.352908296943255,33.08855021834058,5.490489082969437,5264.382995633182,-32.88953711790392,35.65691703056764,47.24089956331882,10.561074235807858,730.4327423580785,-9.974620087336259,79.04508296943236,20.594969432314436,5.838227074235812,1376.927100436684,-14.467275109170298,78.8399650655022,25.117048034934502,4.991947598253274,2829.1200873362427,-20.834069868995623,58.043842794759826,32.514000000000024,5.963799126637548,5260.687886462875,-32.99809606986897,38.06203493449783,45.17511790393018,12.343030567685588,732.4660262008739,-9.973807860262008,79.00665502183394,20.8088384279476,5.750637554585157,1378.8017117903935,-14.65372925764195,79.28269868995635,25.416672489082956,4.598262008733629,2828.591877729257,-21.16811353711789,58.47697816593895,32.59563318777294,5.770620087336239,5257.639668122258,-33.22092576419217,35.62258515283846,45.839056768558955,11.509222707423568
std,0.2335974429607079,0.27925886182669585,0.34849792868299506,0.4081279299944827,0.5192213140896547,0.6707738875864527,2142.942481322537,22.816798540242022,18.15021611662081,2.4080461547645515,6.983989373101422,23.370010558729565,32.73065544226656,58.765264473305905,5.070764704511643,13.388326550073488,8.380370632143029,10.643264516522306,56.93597587917619,4.679227767704975,13.948203634788381,8.492645827486761,11.094198571037575,65.28440734586736,5.040832705029405,23.84680288297228,10.059088736835514,14.390202753130634,101.03699396186884,5.168124082670709,21.012771955650607,20.13745162773112,25.97126700941261,54.04834091834167,5.281569011984679,12.940356819105318,8.09902265188133,11.392470307286976,52.55365434870148,4.891565412563862,13.644253739173154,8.621876212381297,12.433823663888074,62.851878566284135,5.070064427884323,24.428932904191942,8.91722426453391,13.74900580707432,101.08537089836473,5.225659777140297,20.537578552581675,20.111950814554884,25.06063652566669,57.23609173953199,5.0382023661336195,12.173564021833489,8.902633470377266,10.249965461481025,56.748166728177544,4.658046376348974,11.90294814046523,9.226515897216123,9.676222520527961,66.95038997585362,5.202251294562183,22.39267409741679,10.870431075857658,14.0167855156655,104.43522882158008,5.45790012362157,21.73491140687675,21.29585156087764,26.13111970814243,56.75597567450647,5.703198488056278,12.879090223570495,8.895245879935699,10.667055330763324,56.21707245404804,4.913377127535193,15.355997165810916,8.672311217841617,10.199036057309792,66.9974543872812,5.1412504417538365,22.71873439521293,10.090193811253322,14.160510027174174,102.87829224652882,5.115167811236078,21.450790257649,21.54663997947913,25.96575539284186,49.69143868035973,5.541024288327186,12.233131690222095,8.266828261556034,12.338424673631511,48.622103205480904,4.66433072984302,14.834615576643934,8.246635121746388,11.553677818625234,58.428837661138246,5.056174821346116,23.22242773701897,10.088720983042709,14.256068623291391,94.87590545712798,5.116173414035107,20.51574786984359,20.198578258485227,24.23551539879731,57.409970548144166,4.963255634379285,13.212282512773147,8.816562200892267,10.717006594936407,55.07265475043605,4.656002306577286,14.282792245080104,8.662927007133968,11.242687298642439,62.533858320552596,5.1252175568048415,22.563135530870408,9.397496345162017,14.414746084567934,98.71079803573035,5.046283963610257,20.399519535186784,19.53402935931698,24.254216674187948,53.76946148109814,5.204721946233682,12.55428466074039,9.128341367291899,10.737514207189166,53.58068924785296,4.332492624880302,12.792056974598406,9.741873427927532,10.172772172291278,62.43687850327622,4.865882204796841,22.275748473822677,10.726518207820504,14.369996563869112,95.64452356942441,4.9226942530531,21.2095123014577,21.171534518686343,26.890809435417655,55.41282472500137,4.810236566106425,13.441164661673113,8.74782730348112,10.385234844041907,53.30891074149928,4.511884432018354,11.82166685787939,8.883160307207453,10.859807858618508,60.78253399191902,4.833123267055262,23.742428882515448,9.52591158012424,14.31275654920988,93.69503528101669,4.851052889199804,20.83090566550742,20.23795815371004,26.910615312875038,57.64590514053097,4.977290083188347,13.98748747495645,8.87735644649293,10.863400162474637,55.465006285670924,4.695083701886715,14.424206117576515,9.220852102343734,11.49992051682546,61.98838547211395,5.0237455490823235,23.29448474362427,10.170632057759812,13.892772886242506,95.04971150938854,5.160057379959358,21.373504131165124,19.820025580133855,24.862651385919513,57.29606177477177,5.37992032005739,14.052284674969199,9.82966132081804,11.431010952879959,56.5950387715694,4.873147847882663,14.810263700836845,10.01035441045617,10.76300718432353,65.61943265494584,4.92253577139046,23.12073165849959,10.505281687486296,13.972774424502326,99.80506171882786,4.964895598265536,21.12030504633157,21.906838725697188,25.025178939691923,59.26345330819914,5.563999186937385,12.21736371297895,8.402624001879252,12.033175992812435,57.43178944927003,4.751590902270919,11.692878647616423,8.861701666717398,11.223342817194625,64.52419977995638,4.946336221185214,23.495991237989028,9.985508728302904,14.39356295827086,98.24180550248498,5.07987227867963,20.98538035518864,21.070442831000285,26.032636928176103,56.507024074489536,5.697637946598522,12.589409867369614,8.947436338763017,11.475678131577434,55.44302522865684,4.97883067405441,12.482961403346602,8.922615033212162,10.914751063530954,64.54905556573027,5.02522640977585,23.308467690069797,11.0930310853063,14.807945571786194,97.79957112888195,4.9684076004942455,21.056253865634876,22.113476248645348,25.144535504784464,53.64074174721976,5.656838510760109,12.679469090131882,8.533616250634738,12.607889512952061,51.999816206748434,4.620244826207762,14.290567112064938,9.015715147374122,13.030189053733661,60.218462458144685,5.087791564213846,23.70000213480427,9.995306855173611,15.401662980581381,96.61423751396539,5.138046887776641,20.97252454612795,19.87751193851686,26.094478588618323,58.81656792019848,5.328072579014238,11.763172301044206,8.418934224874418,11.758562645512496,56.30923173873019,4.766244532975349,14.271553605726618,8.623738049534404,11.653845980545313,63.8305339937097,4.847477451582519,24.436532561205084,10.27831314701221,13.577222265467386,97.12318469663276,5.022766860596108,21.487371336160216,20.776838687608805,24.080952995763468,59.049378120848274,5.100199781817988,13.219782485578653,8.455896690009094,10.904006316926862,57.625029026079524,4.579704591117871,14.745034715964634,9.104995623242452,10.404912408810278,65.38727829444045,5.028506277189028,22.945475628724996,10.576691654938061,13.92704384110004,98.98987817281584,5.010943168886616,21.492524297139084,20.118844804478236,24.163950501358574,54.87147742504296,5.084547651776894,12.256568443395333,8.627282365247519,10.663618661940918,53.7282598939148,4.587222522245083,13.763861714708398,9.024120669934824,10.744295267974408,63.173232308468506,5.053154879414427,22.238123017378552,9.916492177332337,14.014891233113259,98.84490973747032,4.916703833846813,20.16311848356973,20.474140802291416,24.101841520773696
min,43.243790000000004,-77.509819,42.90771145901639,-77.06009689999999,42.608696,-76.93824000000001,-9999.0,48.34174832879717,38.1606486199964,1.35,0.0,0.0,0.0,593.05,-26.73,29.43,-6.8,-26.83,1249.67,-28.69,6.69,1.28,-27.66,2692.82,-33.4,0.97,7.93,-33.69,5006.45,-45.88,2.26,-11.0,-68.13,626.03,-32.54,29.14,-9.22,-29.8,1273.96,-30.04,11.35,-6.27,-26.61,2685.06,-35.26,1.88,3.22,-26.04,4973.64,-48.2,2.51,-32.23,-54.21,610.64,-27.15,19.77,-8.76,-23.83,1259.0,-27.13,19.52,-1.67,-27.2,2670.31,-33.76,6.21,-6.05,-36.48,5014.13,-46.5,1.2,-24.31,-66.54,601.39,-27.79,33.5,-6.62,-32.89,1252.2,-28.15,8.18,-4.16,-32.23,2675.43,-32.72,0.75,1.79,-36.02,5022.32,-44.18,2.19,-18.91,-73.93,639.57,-28.12,32.49,-2.06,-30.6,1286.64,-25.65,14.17,-2.32,-26.91,2705.89,-33.93,2.43,5.98,-35.94,5023.5,-46.0,1.21,-21.47,-64.21,595.28,-30.0,31.16,-5.24,-27.86,1246.16,-27.07,19.37,-1.29,-20.71,2689.39,-33.4,1.05,4.53,-36.32,4979.7,-48.28,1.97,-21.7,-59.87,595.72,-29.38,33.94,-10.55,-28.2,1246.48,-28.54,11.29,-4.16,-30.73,2665.14,-33.23,4.51,-4.5,-38.64,5017.72,-45.32,1.17,-24.96,-60.52,620.38,-23.9,31.01,-2.82,-20.97,1272.8,-27.44,12.26,-2.12,-21.24,2703.56,-32.55,0.0,1.03,-35.69,5001.98,-46.75,1.74,-22.83,-64.84,584.59,-25.68,27.4,-8.66,-21.97,1243.22,-29.83,13.58,-1.91,-24.97,2716.37,-33.85,1.27,-0.52,-25.38,5021.49,-45.88,1.42,-22.25,-66.2,605.12,-28.34,14.01,-9.12,-28.8,1267.41,-29.01,9.89,-4.26,-28.46,2685.51,-33.51,3.99,-2.17,-30.79,5026.16,-45.41,1.88,-31.01,-60.01,601.66,-27.93,29.28,-4.15,-29.12,1260.55,-28.04,29.92,2.23,-25.58,2687.43,-34.73,1.36,7.26,-31.08,4975.0,-46.99,1.09,-25.12,-54.33,588.25,-30.69,35.06,-7.92,-33.21,1246.15,-31.79,16.8,-3.84,-26.27,2671.39,-34.6,1.37,-4.94,-39.15,5012.9,-45.67,1.43,-28.36,-52.26,607.93,-29.29,27.66,-9.69,-32.37,1253.52,-28.74,15.38,-7.92,-30.28,2698.54,-33.51,0.62,4.76,-40.43,4999.57,-46.78,1.85,-26.85,-65.23,603.35,-32.71,31.86,-5.71,-28.56,1263.75,-32.39,9.04,-2.29,-29.49,2717.48,-34.51,0.7,7.73,-34.57,5020.15,-46.24,2.95,-10.87,-64.32,590.06,-28.58,30.6,-11.25,-23.89,1229.91,-26.95,12.58,-5.39,-27.0,2672.46,-33.47,3.63,-4.16,-40.46,4987.29,-46.79,1.53,-25.39,-51.1,556.74,-25.0,38.51,-9.45,-28.31,1212.52,-27.19,13.62,-5.13,-25.8,2702.81,-33.68,0.75,6.8,-36.19,5039.5,-45.61,1.77,-16.11,-60.4
